comment,label
Amazing work! Loved the animation. ,praise
This is so well-made! ,praise
Fantastic editing skills! ,praise
"Great job, keep it up! ",praise
"Loved the video, so creative! ",praise
"Keep going, you're doing great! ",support
"You've got this, don't stop! ",support
We support you always! ,support
Proud of your progress! ,support
You're improving every day! ,support
The animation was okay but the voiceover felt off. ,constructive_criticism
"Nice attempt, but pacing can be better. ",constructive_criticism
"Good effort, but colors feel dull. ",constructive_criticism
"I like it, but transitions need work. ",constructive_criticism
"Concept is great, execution needs polish. ",constructive_criticism
"This is trash, quit now. ",hate
Worst content ever. ,hate
You have no talent. ,hate
"Terrible quality, disappointing. ",hate
Such garbage work. ,hate
I'll report you if this continues. ,threat
Stop posting or else. ,threat
You better delete this now. ,threat
I'll take action against you. ,threat
You won't like what happens next. ,threat
This reminded me of my childhood. ,emotional
"Made me tear up, beautiful! ",emotional
This brought back memories. ,emotional
I felt so connected watching this. ,emotional
"So emotional, I loved it. ",emotional
Follow me for followers!!! ,spam
Click the link for free gifts! ,spam
Win an iPhone now! ,spam
Subscribe to my channel! ,spam
DM me for promotions! ,spam
Can you make one on climate change? ,question_suggestion
Can you post a tutorial next? ,question_suggestion
Do you have a version of this in Hindi? ,question_suggestion
Could you explain the steps? ,question_suggestion
Please make a video on AI tools! ,question_suggestion
Amazing work! Loved the animation. ,praise
This is so well-made! ,praise
Fantastic editing skills! ,praise
"Great job, keep it up! ",praise
"Loved the video, so creative! ",praise
"Keep going, you're doing great! ",support
"You've got this, don't stop! ",support
We support you always! ,support
Proud of your progress! ,support
You're improving every day! ,support
The animation was okay but the voiceover felt off. ,constructive_criticism
"Nice attempt, but pacing can be better. ",constructive_criticism
"Good effort, but colors feel dull. ",constructive_criticism
"I like it, but transitions need work. ",constructive_criticism
"Concept is great, execution needs polish. ",constructive_criticism
"This is trash, quit now. ",hate
Worst content ever. ,hate
You have no talent. ,hate
"Terrible quality, disappointing. ",hate
Such garbage work. ,hate
I'll report you if this continues. ,threat
Stop posting or else. ,threat
You better delete this now. ,threat
I'll take action against you. ,threat
You won't like what happens next. ,threat
This reminded me of my childhood. ,emotional
"Made me tear up, beautiful! ",emotional
This brought back memories. ,emotional
I felt so connected watching this. ,emotional
"So emotional, I loved it. ",emotional
Follow me for followers!!! ,spam
Click the link for free gifts! ,spam
Win an iPhone now! ,spam
Subscribe to my channel! ,spam
DM me for promotions! ,spam
Can you make one on climate change? ,question_suggestion
Can you post a tutorial next? ,question_suggestion
Do you have a version of this in Hindi? ,question_suggestion
Could you explain the steps? ,question_suggestion
Please make a video on AI tools! ,question_suggestion
Amazing work! Loved the animation. ,praise
This is so well-made! ,praise
Fantastic editing skills! ,praise
"Great job, keep it up! ",praise
"Loved the video, so creative! ",praise
"Keep going, you're doing great! ",support
"You've got this, don't stop! ",support
We support you always! ,support
Proud of your progress! ,support
You're improving every day! ,support
The animation was okay but the voiceover felt off. ,constructive_criticism
"Nice attempt, but pacing can be better. ",constructive_criticism
"Good effort, but colors feel dull. ",constructive_criticism
"I like it, but transitions need work. ",constructive_criticism
"Concept is great, execution needs polish. ",constructive_criticism
"This is trash, quit now. ",hate
Worst content ever. ,hate
You have no talent. ,hate
"Terrible quality, disappointing. ",hate
Such garbage work. ,hate
I'll report you if this continues. ,threat
Stop posting or else. ,threat
You better delete this now. ,threat
I'll take action against you. ,threat
You won't like what happens next. ,threat
This reminded me of my childhood. ,emotional
"Made me tear up, beautiful! ",emotional
This brought back memories. ,emotional
I felt so connected watching this. ,emotional
"So emotional, I loved it. ",emotional
Follow me for followers!!! ,spam
Click the link for free gifts! ,spam
Win an iPhone now! ,spam
Subscribe to my channel! ,spam
DM me for promotions! ,spam
Can you make one on climate change? ,question_suggestion
Can you post a tutorial next? ,question_suggestion
Do you have a version of this in Hindi? ,question_suggestion
Could you explain the steps? ,question_suggestion
Please make a video on AI tools! ,question_suggestion
Amazing work! Loved the animation. ,praise
This is so well-made! ,praise
Fantastic editing skills! ,praise
"Great job, keep it up! ",praise
"Loved the video, so creative! ",praise
"Keep going, you're doing great! ",support
"You've got this, don't stop! ",support
We support you always! ,support
Proud of your progress! ,support
You're improving every day! ,support
The animation was okay but the voiceover felt off. ,constructive_criticism
"Nice attempt, but pacing can be better. ",constructive_criticism
"Good effort, but colors feel dull. ",constructive_criticism
"I like it, but transitions need work. ",constructive_criticism
"Concept is great, execution needs polish. ",constructive_criticism
"This is trash, quit now. ",hate
Worst content ever. ,hate
You have no talent. ,hate
"Terrible quality, disappointing. ",hate
Such garbage work. ,hate
I'll report you if this continues. ,threat
Stop posting or else. ,threat
You better delete this now. ,threat
I'll take action against you. ,threat
You won't like what happens next. ,threat
This reminded me of my childhood. ,emotional
"Made me tear up, beautiful! ",emotional
This brought back memories. ,emotional
I felt so connected watching this. ,emotional
"So emotional, I loved it. ",emotional
Follow me for followers!!! ,spam
Click the link for free gifts! ,spam
Win an iPhone now! ,spam
Subscribe to my channel! ,spam
DM me for promotions! ,spam
Can you make one on climate change? ,question_suggestion
Can you post a tutorial next? ,question_suggestion
Do you have a version of this in Hindi? ,question_suggestion
Could you explain the steps? ,question_suggestion
Please make a video on AI tools! ,question_suggestion
Amazing work! Loved the animation. ,praise
This is so well-made! ,praise
Fantastic editing skills! ,praise
"Great job, keep it up! ",praise
"Loved the video, so creative! ",praise
"Keep going, you're doing great! ",support
"You've got this, don't stop! ",support
We support you always! ,support
Proud of your progress! ,support
You're improving every day! ,support
The animation was okay but the voiceover felt off. ,constructive_criticism
"Nice attempt, but pacing can be better. ",constructive_criticism
"Good effort, but colors feel dull. ",constructive_criticism
"I like it, but transitions need work. ",constructive_criticism
"Concept is great, execution needs polish. ",constructive_criticism
"This is trash, quit now. ",hate
Worst content ever. ,hate
You have no talent. ,hate
"Terrible quality, disappointing. ",hate
Such garbage work. ,hate
I'll report you if this continues. ,threat
Stop posting or else. ,threat
You better delete this now. ,threat
I'll take action against you. ,threat
You won't like what happens next. ,threat
This reminded me of my childhood. ,emotional
"Made me tear up, beautiful! ",emotional
This brought back memories. ,emotional
I felt so connected watching this. ,emotional
"So emotional, I loved it. ",emotional
Follow me for followers!!! ,spam
Click the link for free gifts! ,spam
Win an iPhone now! ,spam
Subscribe to my channel! ,spam
DM me for promotions! ,spam
Can you make one on climate change? ,question_suggestion
Can you post a tutorial next? ,question_suggestion
Do you have a version of this in Hindi? ,question_suggestion
Could you explain the steps? ,question_suggestion
Please make a video on AI tools! ,question_suggestion
Amazing work! Loved the animation. ,praise
This is so well-made! ,praise
Fantastic editing skills! ,praise
"Great job, keep it up! ",praise
"Loved the video, so creative! ",praise
"Keep going, you're doing great! ",support
"You've got this, don't stop! ",support
We support you always! ,support
Proud of your progress! ,support
You're improving every day! ,support
The animation was okay but the voiceover felt off. ,constructive_criticism
"Nice attempt, but pacing can be better. ",constructive_criticism
"Good effort, but colors feel dull. ",constructive_criticism
"I like it, but transitions need work. ",constructive_criticism
"Concept is great, execution needs polish. ",constructive_criticism
"This is trash, quit now. ",hate
Worst content ever. ,hate
You have no talent. ,hate
"Terrible quality, disappointing. ",hate
Such garbage work. ,hate
I'll report you if this continues. ,threat
Stop posting or else. ,threat
You better delete this now. ,threat
I'll take action against you. ,threat
You won't like what happens next. ,threat
This reminded me of my childhood. ,emotional
"Made me tear up, beautiful! ",emotional
This brought back memories. ,emotional
