comment,label
"Keep going, you're improving!",support
"Good attempt, but the pacing felt off.",constructive_criticism
Proud of your consistency!!,support
Could you make a version in Hindi?,question_suggestion
Outstanding work!,praise
I like this movie,praise
I loved this movie,praise
This moved me deeply. 😊,emotional
This moved me deeply.,emotional
Please post a tutorial next. 😅,question_suggestion
Excellent editing!,praise
Follow me for free giveaways!,spam
"Loved the video, great creativity!",praise
This is your last warning.,threat
This touched my heart.,emotional
Such a nostalgic feeling!!,emotional
"The concept is solid, but timing feels rushed. 😅",constructive_criticism
Completely useless content.,hate
Subscribe to my page!,spam
Proud of your consistency!,support
Amazing work! 😊,praise
This made my day.,emotional
Please create one on climate change.,question_suggestion
This reminds me of my childhood.,emotional
"Not bad, but the colors seem dull.!",constructive_criticism
"Loved the video, great creativity!",praise
Worst content I've seen.,hate
Loved every second of this!,praise
"Stay strong, you're on the right path.",support
This moved me deeply.,emotional
Your progress is inspiring! 🙌,support
I'll report this immediately. 👍,threat
Such a nostalgic feeling!!,emotional
I’ll take action against you.,threat
"Keep going, you're improving!",support
"This is decent, but voice clarity needs work. 😊",constructive_criticism
Worst content I've seen.,hate
Excellent editing!,praise
"Stay strong, you're on the right path.",support
This is terrible.,hate
"This is trash, give up.",hate
"The concept is solid, but timing feels rushed. 👍",constructive_criticism
Stop posting or face consequences. 👍,threat
DM me for promotions!,spam
"The visuals are good, but transitions could be smoother.!",constructive_criticism
Excellent editing!,praise
This touched my heart.,emotional
"Keep going, you're improving!",support
Loved every second of this!,praise
Join my channel for cash rewards!,spam
"Keep going, you're improving!",support
You got this!!,support
Subscribe to my page!,spam
Can you make one on AI? 😅,question_suggestion
This is brilliant!,praise
Terrible attempt.,hate
Made me tear up.,emotional
"Free gifts available, check link!",spam
I felt so connected to this.!,emotional
I’ll take action against you.,threat
We believe in you!!,support
Stop posting or face consequences.,threat
Garbage work. 😅,hate
"This is decent, but voice clarity needs work.",constructive_criticism
We believe in you! 🙌,support
This moved me deeply.,emotional
Outstanding work!,praise
"You're doing great, keep it up! 😅",support
I'll report this immediately.,threat
I'll report this immediately.,threat
This is terrible. 😅,hate
This is your last warning.,threat
"Fantastic effort, well done!!",praise
"The visuals are good, but transitions could be smoother.",constructive_criticism
"Fantastic effort, well done!",praise
Worst content I've seen.,hate
Amazing work!,praise
"I like the idea, but execution needs polish.",constructive_criticism
Subscribe to my page!,spam
Could you make a version in Hindi? 👍,question_suggestion
Made me tear up.!,emotional
Can you make one on AI? 😅,question_suggestion
Can you explain the process?,question_suggestion
Follow me for free giveaways!!,spam
We believe in you!,support
Can you explain the process?,question_suggestion
"Good attempt, but the pacing felt off.",constructive_criticism
This is your last warning. 👍,threat
Worst content I've seen.,hate
I'll report this immediately.!,threat
Join my channel for cash rewards!,spam
"You're doing great, keep it up!",support
Click here to win prizes!,spam
Can you make a longer version?,question_suggestion
This is brilliant!,praise
"You're doing great, keep it up!",support
This is brilliant! 👍,praise
You won't like what happens next.,threat
"Don’t stop, your work matters!",support
Please post a tutorial next. 🙌,question_suggestion
Proud of your consistency! 😅,support
Garbage work. 👍,hate
Super impressive!,praise
Super impressive! 🙌,praise
Such a nostalgic feeling! 🙌,emotional
"Don’t stop, your work matters! 👍",support
Can you make a longer version? 👍,question_suggestion
Loved every second of this!,praise
Amazing work!,praise
Completely useless content.,hate
"The concept is solid, but timing feels rushed.",constructive_criticism
This is brilliant! 😊,praise
